"Name of Researcher","Name of Institution","Name of Project","Type","Year","Reference","Links"
"Fiona Mercer","University of Stirling","Peer support and overdose prevention responses: A systematic 'state-of-the-art' review","Article","2021","Mercer, F., Miler, J. A., Pauly, B., Carver, H., Hnízdilová, K., Foster, R., & Parkes, T. (2021). Peer Support and Overdose Prevention Responses: A Systematic 'State-of-the-Art' Review. International journal of environmental research and public health, 18(22). https://doi.org/10.3390/ijerph182212073","https://doi.org/10.3390/ijerph182212073"
"Fiona Mercer","University of Stirling","Patient, family members and pharmacists views of a proposed overdose prevention intervention delivered by community pharmacists for patients prescribed opioids for chronic non-cancer pain: An explorative study","Article","2022","Mercer, F., Parkes, T., Foster, R., Steven, D., McAuley, A., Baldacchino, A., Steele, W.,  Schofield, J., & Matheson, C. (2022). Patient, family members and pharmacists views of a proposed overdose prevention intervention delivered by community pharmacists for patients prescribed opioids for chronic non-cancer pain: an explorative study . Drug and Alcohol Review, https://doi.org/10.1111/dar.13554","https://onlinelibrary.wiley.com/doi/full/10.1111/dar.13554"
"James Nicholls","University of Stirling","Analysis of the UK Government’s 10-year drug strategy: a resource for practitioners and policymakers","Article","2022","Hollard, A., Stevens, A., Harris, M., Lewer, D., Sumnall, H., Stewart, D., Gilvarry, E., Wiseman, A., Howkins, J., McManus, J., Shorter, G.W., Nicholls, J. (2022). Analysis of the UK Government's 10-year drugs strategy - a resource for practitioners and policymakers. Journal of Public Health, 114.","https://academic.oup.com/jpubhealth/advance-article/doi/10.1093/pubmed/fdac114/6779883"
"James Nicholls","University of Stirling","Effects of media representations of drug-related deaths on public stigma and harm reduction","Article","2023","Sumnall, H.R., Atkinson, A., Montgomery, C., Maynard, O., & Nicholls, J. (2023). Effects of media representations of drug related deaths on public stigma and support for harm reduction. International Journal of Drug Policy, 111.","https://pubmed.ncbi.nlm.nih.gov/36399962/"
"James Nicholls","University of Stirling","Drug consumption room models and drug checking","Research project","2023",NA,NA
"Tessa Parkes","University of Stirling","Supporting harm reduction through peer support: testing feasibility & acceptability of a peer-delivered, relational intervention for people with problem substance use who are homeless.","Article","2019","Parkes, T, Carver, H. et al. 2019. Supporting Harm Reduction through Peer Support: testing feasibility & acceptability of a peer-delivered, relational intervention for people with problem substance use who are homeless. BMC Pilot and Feasibility Studies, 5, 64. Available: https://doi.org/10.1186/s40814-019-0447-0","https://doi.org/10.1186/s40814-019-0447-0"
"Tessa Parkes","University of Stirling","‘They already operated like it was a crisis, because it always has been a crisis’: a qualitative exploration of the response of one homeless service in Scotland to the COVID-19 pandemic","Article","2021","Parkes, T., Carver, H., Masterton., W., Falzon., D., Dumbrell, J., Grant, S., Wilson, I. 2021. ‘They already operated like it was a crisis, because it always has been a crisis’: a qualitative exploration of the response of one homeless service in Scotland to the COVID-19 pandemic. Harm Reduction Journal. 18, 26. Available: https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00472-w  (6571 accesses at 24 Sept 2022, 20 citations)","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00472-w"
"Tessa Parkes","University of Stirling","“You know, we can change the services to suit the circumstances of what is happening in the world”: A rapid case study of the COVID-19 response across city centre homelessness and health services in Edinburgh, Scotland","Article","2021","Parkes, T., Carver, H., Masterton., W., Falzon., D., Dumbrell, J., Grant, S., Wilson, I. “You know, we can change the services to suit the circumstances of what is happening in the world”: A rapid case study of the COVID-19 response across city centre homelessness and health services in Edinburgh, Scotland. Harm Reduction Journal. 18, 64. Available: https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00508-1","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00508-1"
"Tessa Parkes","University of Stirling","Assessing the feasibility, acceptability, and accessibility of a peer-delivered intervention to reduce harm and improve the wellbeing of people who experience homelessness with problem substance use: the SHARPS study","Article","2022","Parkes, T., Matheson, C., Carver., H et al. 2022. Assessing the feasibility, acceptability, and accessibility of a peer-delivered intervention to reduce harm and improve the wellbeing of people who experience homelessness with problem substance use: the SHARPS study. Harm Red J. 19. Available: https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00582-5","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-021-00582-5"
"Tessa Parkes","University of Stirling","Chronic pain, prescribed opioids and overdose risk: a qualitative exploration of the views of affected individuals and family members","Article","2022","Parkes, T., Foster, R., McAuley, A., Steven, D., Matheson, C., Baldacchino, A. 2022. Chronic pain, prescribed opioids and overdose risk: a qualitative exploration of the views of affected individuals and family members. Drugs, Education, Prevention and Policy. Available here: https://doi.org/10.1080/09687637.2021.2022100","https://doi.org/10.1080/09687637.2021.2022100"
"Tessa Parkes","University of Stirling","Why would we not want to keep everybody safe?"" The views of family members of people who use drugs on the implementation of drug consumption rooms in Scotland","Article","2022","Parkes, T., Price, T. Foster, R., Trayner, K. M. A., Sumnall, H. R., Livingston, W., Perkins, A., Dumbrell, J., Cairns, B., Nicholls, J. Why would we not want to keep everybody safe?"" The views of family members of people who use drugs on the implementation of drug consumption rooms in Scotland. Harm Reduction Journal. 19, 99. Available at: https://doi.org/10.1186/s12954-022-00679-5","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-022-00679-5"
"Tessa Parkes","University of Stirling","See beyond. See the lives. Scotland: Anti-stigma campaign","Research project","2019","https://www.seebeyondscotland.com","https://www.seebeyondscotland.com/"
"Tessa Parkes","University of Stirling","Review on homelessness, substance use, mental health","Research project","2019","https://www.hrb.ie/fileadmin/2._Plugin_related_files/Publications/2021_publications/2021_HIE/Evidence_Centre/Evidence_review_of_drug_treatment_services_for_people_who_are_homeless_and_use_drugs.pdf",NA
"Tessa Parkes","University of Stirling","Assessing prescription opioid overdose risk (POOR) via a quality improvement process led by NHS Fife Pharmacy and scoping the feasibility of a specific overdose prevention intervention delivered by Community Pharmacists","Research project","2020","https://www.stir.ac.uk/research/hub/contract/1101207","https://www.stir.ac.uk/research/hub/contract/1101207"
"Tessa Parkes","University of Stirling","Researching and developing key components of a new Scottish drug checking service","Research project","2021","Parkes, T., Carver, H., Aston, L., Fletcher, E., Craik, V., & Schofield, J. (2021). Researching and developing key components of a new Scottish drug checking service. CORRA Foundation, Scottish Government (£300,081).","https://www.stir.ac.uk/research/hub/contract/1415618"
"Tessa Parkes","University of Stirling","Effectiveness and cost-effectiveness of a peer-delivered, relational, harm reduction intervention to improve mental health, quality of life, and related outcomes, for people experiencing homelessness and substance use problems: The 'SHARPS' cluster randomised controlled trial","Research project","2018-2020","https://www.journalslibrary.nihr.ac.uk/hta/WVVL4786#/abstract","https://www.journalslibrary.nihr.ac.uk/hta/WVVL4786"
"Tessa Parkes","University of Stirling","Services in primary care, mental health and drug treatment settings for people who use drugs: Evidence review","Review","2019","Sumnall, H., Parkes, T., Jones, L., Carver, H., & Miler, J. (2019). Services in primary care, mental health and drug treatment settings for people who use drugs: Evidence review. Health Research Board (€60,000/£52,174).",NA
"Tracey Price","University of Stirling","Discursive struggles' between criminal justice sanctions and health interventions for people who use drugs: a qualitative exploration of diversion policy and practice in Scotland","Article","2021","Price, T., Parkes, T., & Malloch, M. (2021). 'Discursive struggles' between criminal justice sanctions and health interventions for people who use drugs: a qualitative exploration of diversion policy and practice in Scotland [Article]. Drugs: Education, Prevention & Policy, 28(2), 118-126. https://doi.org/10.1080/09687637.2020.1775180","https://doi.org/10.1080/09687637.2020.1775180"
"Tracey Price","University of Stirling","The thistle and the rose: a Bacchian analysis of the ‘problems’ of drug use, diversion and the Scottish context","PhD","2017-2022","Price, T. (2022). The Thistle and the Rose: a Bacchian analysis of the 'problems' of drug use, diversion and the Scottish context. PhD Thesis.","https://dspace.stir.ac.uk/handle/1893/34578"
"Joe Schofield","University of Stirling","Quantifying prescribed high dose opioids in the community and risk of overdose","Article","2021","Schofield, J., Steven, D., Foster, R., Matheson, C., Baldacchino, A., McAuely, A., & Parkes, T. (2021). Quanitfying prescribed high dose opioids in the community and risk of overdose. BMC Public Health, 21(1), pp. 1174.","https://risweb.st-andrews.ac.uk/portal/en/researchoutput/quantifying-prescribed-high-dose-opioids-in-the-community-and-risk-of-overdose(6356f892-eff9-4b98-b0c2-9467c2aca068).html"
"Joe Schofield","University of Stirling","The impact of COVID-19 on access to harm reduction, substance use treatment and recovery services in Scotland: a qualitative study","Article","2022","Schofield, J., Dumbrell, J., Matheson, C., Parkes, T., Bancroft, A. 2022. The impact of COVID-19 on access to harm reduction, substance use treatment and recovery services in Scotland: a qualitative study. BMC Public Health, 22. Available at: https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12873-y","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-022-12873-y"
"Joe Schofield","University of Stirling","Feasibility and acceptability of an overdose prevention intervention delivered by Community Pharmacists for patients prescribed opioids for chronic non-cancer pain","Article","2023","Schofield, J.; Parkes, T.; Mercer, F.; Foster, R.; Hnízdilová, K.; Matheson, C.; Steele, W.; McAuley, A.; Raeburn, F.; Skea, L.; Baldacchino, A. Feasibility and Acceptability of an Overdose Prevention Intervention Delivered by Community Pharmacists for Patients Prescribed Opioids for Chronic Non-Cancer Pain. Pharmacy 2023, 11, 88. https://doi.org/10.3390/pharmacy11030088",NA
"Joe Schofield","University of Stirling","Exploring the utility and safety of benzodiazepine prescribing among people reciving opiate replacement therapy in Scotland","Research project","2020",NA,NA
"Joe Schofield","University of Stirling","Survey of Scottish addiction prescribers on management of benzodiazepine dependence","Research project","2023",NA,NA
"April Shaw","University of Stirling","Preventing blood-borne virus infection in people who inject drugs in the UK: systematic review, stakeholder interviews, psychosocial intervention development and feasibility randomised controlled trial","Article","2017","Gilchrist, G., Swan, D., Shaw, A., Keding, A., Towers, S., Craine, N., Munro, A., Hughes, E., Parrott, S., Mdege, N., Strang, J., Taylor, A., & Watson, J. (2017). Preventing blood-borne virus infection in people who inject drugs in the UK: systematic review, stakeholder interviews, psychosocial intervention development and feasibility randomised controlled trial. Health technology assessment (Winchester, England), 21(72), 1-312. https://doi.org/10.3310/hta21720","https://doi.org/10.3310/hta21720"
"April Shaw","University of Stirling","The acceptability and feasibility of a brief psychosocial intervention to reduce blood-borne virus risk behaviours among people who inject drugs: a randomised control feasibility trial of a psychosocial intervention (the PROTECT study) versus treatment as usual","Article","2017","Gilchrist, G., Swan, D., Shaw, A., Keding, A., Towers, S., Craine, N., Munro, A., Hughes, E., Parrott, S., Strang, J., Taylor, A., & Watson, J. (2017). The acceptability and feasibility of a brief psychosocial intervention to reduce blood-borne virus risk behaviours among people who inject drugs: a randomised control feasibility trial of a psychosocial intervention (the PROTECT study) versus treatment as usual. Harm reduction journal, 14(1), 14. https://doi.org/10.1186/s12954-017-0142-5","https://doi.org/10.1186/s12954-017-0142-5"
"April Shaw","University of Stirling","Psychiatric comorbidity and intimate partner violence among women who inject drugs in Europe: a cross-sectional study","Article","2018","Tirado-Muñoz, J., Gilchrist, G., Fischer, G., Taylor, A., Moskalewicz, J., Giammarchi, C., Köchl, B., Munro, A., Dąbrowska, K., Shaw, A., Di Furia, L., Leeb, I., Hopf, C., & Torrens, M. (2018). Psychiatric comorbidity and intimate partner violence among women who inject drugs in Europe: a cross-sectional study. Archives of women's mental health, 21(3), 259–269. https://doi.org/10.1007/s00737-017-0800-3","https://link.springer.com/article/10.1007/s00737-017-0800-3"
"April Shaw","University of Stirling","Paying attention to women's ageing bodies in recovery from substance use","Article","2022","Shaw, A., Reith, G., & Pickering, L. (2022). Paying attention to women's ageing bodies in recovery from susbtance use. Frontiers in Psychiatry, 13.","https://eprints.gla.ac.uk/268959/"
"April Shaw","University of Stirling","Older women managing relationships and navigating health in drugs recovery: A qualitative study","PhD","2021 (year completed)","Shaw, A. (2021). Older women managing relationships and navigating health in drugs recovery: A qualitative study. PhD Thesis.","https://theses.gla.ac.uk/82420/"
"Matt Smith","University of Stirling","A mixed methods evaluation of peer-to-peer naloxone training and supply in Scotland","Research project","2020","Smith, M., McAuley, A., Carver, H., & Horsburgh, K. (2020). A mixed methods evaluation of peer-to-peer naloxone training and supply in Scotland. Drug Deaths Taskforce, Scottish Government (£70,754).","https://researchonline.gcu.ac.uk/en/projects/a-mixed-methods-evaluation-of-peer-to-peer-naloxone-training-and-"
"Anne Whittaker","University of Stirling","Problematisation and regulation: Bodies, risk, and recovery within the context of Neonatal Abstinence Syndrome","Article","2019","Whittaker, A., Chandler, A., Cunningham-Burley, S., Midgley, P., Elliott, L., & Cooper, S. (2019). Problematisation and regulation: Bodies, risk, and recovery within the context of Neonatal Abstinence Syndrome. The International journal on drug policy, 68, 139-146. https://doi.org/10.1016/j.drugpo.2018.06.006","https://doi.org/10.1016/j.drugpo.2018.06.006"
"Anne Whittaker","University of Stirling","The Parents under Pressure parenting programme for families with fathers receiving treatment for opioid dependence: the PuP4Dads feasibility study","Article","2022","Whittaker, A., Elliott, L., Taylor, J., Dawe, S., Harnett, P., Stoddart, A., Littlewood, P., Robertson, R., Farquharson, B., & Strachan, H. (2022). The Parents under Pressure parenting programme for families with fathers receiving treatment for opioid dependence: the PuP4Dads feasibility study. https://doi.org/10.3310/YOWK7214","https://doi.org/10.3310/YOWK7214"
"Anne Whittaker","University of Stirling","Treatment of post-traumatic stress disorder and substance use disorder in adults with a history of adverse childhood experiences: A systematic review of psychological interventions","Article","2022","Molina, G., & Whittaker, A. (2022). Treatment of post-traumatic stress disorder and substance use disorder in adults with a history of adverse childhood experiences: A systematic review of psychological interventions. Drug and Alcohol Dependence Reports, 2.","https://www.sciencedirect.com/science/article/pii/S2772724622000063"
"Anne Whittaker","University of Stirling","Behavioural Couples Therapy (BCT) as an adjunct to opioid substitution therapy for drug dependent patients","Report","2017","Whittaker, A., Elliot, L., Taylor, J., Klostermann, K., Stoddart, A., Black, H., et al. (2018). Behavioural couples therapy as an adjunct to opioid substitution therapy for drug dependent parents: A feasibility study - Final Report for Chief Scientist Office. Chief Scientist Office.","https://researchonline.gcu.ac.uk/en/projects/behavioural-couples-therapy-as-an-adjunct-to-opioid-substitution-"
"Anne Whittaker","University of Stirling","Governing parental drug use in the UK: a relational ethnography","Research project","2020","Whittaker, A., Martin, F., Olsen, A., & Wincup, E. (2020). Governing parental drug use in the UK: What's hidden in 'hidden harm?'. Contemporary Drug Problems, 47(3), 170-187.","https://journals.sagepub.com/doi/10.1177/0091450920941267"
"Rowdy Yates","University of Stirling","Bridging the gap between research and practice in therapeutic communities (TCs) for addictions","Article","2017","Vanderplasschen, W., Yates, R., & Miovsky, M. (2017). Bridging the gap between research and practice in therapeutic communitites (TCs) for Addictions. Journal of Groups in Addiction & Recovery, 12(2), pp. 63-67.","https://www.researchgate.net/publication/317853564_Bridging_the_Gap_Between_Research_and_Practice_in_Therapeutic_Communities_TCs_for_Addictions"
"Rowdy Yates","University of Stirling","Drug-free therapeutic communities in Europe","Article","2017","Yates, R. (2017). Drug-free therapeutic communities in Europe. Therapeutic Communities: The International Journal of Therapeutic Communiites, 38(4), pp. 205.","https://www.researchgate.net/publication/320717901_Drug-free_therapeutic_communities_in_Europe"
"Rowdy Yates","University of Stirling","Integration: Too much of a bad thing?","Article","2017","Yates, R., Burns, J., & McCabe, L. (2017). Integration: Too much of a bad thing? Journal of Groups in Addiction & Recovery, 12(2-3), pp. 196-206.","https://www.tandfonline.com/doi/full/10.1080/1556035X.2017.1320487"
"Rowdy Yates","University of Stirling","A brief history of British drug policy: 1850-1950","Article","2020","Yates, R. (2020). A brief history of British drug policy: 1850-1950. Therapeutic Communities: The International Journal of Therapeutic Communities, 41(2).","https://www.emerald.com/insight/content/doi/10.1108/TC-11-2019-0013/full/html"
"Hannah Carver","University of Stirling","What constitutes effective problematic substance use treatment from the perspective of people who are homeless? A systematic review and meta-ethnography.","Article","2020","Carver, H., Ring, N., Miler, J., & Parkes, T. (2020). What constitutes effective problematic substance use treatment from the perspective of people who are homeless? A systematic review and meta-ethnography. Harm Reduction Journal, 17,10. Available: https://doi.org/10.1186/s12954-020-0356-9","https://doi.org/10.1186/s12954-020-0356-9"
"Hadi Daneshvar","University of Stirling","ODART: Responder application pilot study for the Brave app","Research project","2022-2023","https://digitallifelines.scot/our-work/odart/","https://digitallifelines.scot/our-work/odart/"
"Danilo Falzon","University of Stirling","Challenges for drug checking services in Scotland: a qualitative exploration of police perceptions","Article","2022","Falzon, D., Aston, E.V., Carver, H., Masterton, W., Wallace, B., Sumnall, H., et al. (2022). Challenges for drug checking services in Scotland: A qualitative exploration of police perceptions. Harm Reduction Journal, 19, 105.","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-022-00686-6"
"James Nicholls","University of Stirling","Drug consumption rooms and public health olicy: Perspectives of Scottish strategic decision-makers","Article","2022","Nicholls, J., Livingston, W., Perkins, A., Cairns, B., Foster, R., Trayner, K. M. A., Sumnall, H. R., Price, T., Cairney, P., Dumbrell, J., & Parkes, T. (2022). Drug Consumption Rooms and Public Health Policy: Perspectives of Scottish Strategic Decision-Makers. International journal of environmental research and public health, 19(11). https://doi.org/10.3390/ijerph19116575","https://doi.org/10.3390/ijerph19116575"
"Karen Dunleavy","University of the West of Scotland","Association between harm reduction intervention uptake and skin and soft tissue infections among people who inject drugs","Article","2017","Dunleavy, K., Munro, A., Roy, K., Hutchinson, S., Palmateer, N., Knox, T., Goldberg, D., & Taylor, A. (2017). Association between harm reduction intervention uptake and skin and soft tissue infections among people who inject drugs. Drug and Alcohol Dependence, 174. pp. 91-97","https://www.sciencedirect.com/science/article/abs/pii/S0376871617301060"
"Karen Dunleavy","University of the West of Scotland","Spore forming bacteria infections and people who inject drugs: Implications for harm reduction","Article","2018","Dunleavy, K., Munro, A., Roy, K., Hutchinson, S., Palmateer, N. E., Knox, T., Goldberg, D., Hope, V., Campbell, J., Hamilton, E., Liddell, D., Penrice, G., & Taylor, A. (2018). Spore forming bacteria infections and people who inject drugs: Implications for harm reduction. International Journal of Drug Policy, 53, 45-54. https://doi.org/10.1016/j.drugpo.2017.12.001","https://www.sciencedirect.com/science/article/abs/pii/S0955395917303572?via%3Dihub"
"Karen Dunleavy","University of the West of Scotland","The experiences of people who inject drugs of skin and soft tissue infections and harm reduction: a qualitative study","Article","2019","Dunleavy, K., Hope, V., Roy, K., & Taylor, A. (2019). The experiences of people who inject drugs of skin and soft tissue infections and harm reduction: A qualitative study. International Journal of Drug Policy. 65, pp. 65-72","https://research-portal.uws.ac.uk/en/publications/the-experiences-of-people-who-inject-drugs-of-skin-and-soft-tissu"
"Karen Dunleavy","University of the West of Scotland","The uptake of foil from needle and syringe provision services and its role in smoking or snorting heroin among people who inject drugs in Scotland","Article","2021","Dunleavy, K., Hutchinson, S., Palmateer, N., Goldberg, D., Taylor, A., Munro, A., Shepherd, S., Gunson, R.N., Given, S., Campbell, J., & McAuley, A. (2021). The uptake of foil from needle and syringe provision services and its role in smoking or snorting heroin among people who inject drugs in Scotland. International Journal of Drug Policy. 98","https://researchonline.gcu.ac.uk/en/publications/the-uptake-of-foil-from-needle-and-syringe-provision-services-and"
"Aileen O'Gorman","University of the West of Scotland","A social autopsy of drug-lrelated deaths among young people in Highland","Research project","2020","https://www.highland-adp.org.uk/userfiles/file/hadp_publications/Highland-Review-of-Drug-Related-Deaths-in-Younger-People.pdf","https://www.highland-adp.org.uk/userfiles/file/hadp_publications/Highland-Review-of-Drug-Related-Deaths-in-Younger-People.pdf"
"Aileen O'Gorman","University of the West of Scotland","Understanding the role and potential of primary care in the prevention of drug deaths post Covid-19","Research project","2020-2022",NA,NA
"Kieran Hamilton","University of the West of Scotland","Novel psychoactive substance users, online community engagement and the challenge to prohibitionist hegemony","PhD","2019 (year completed)","Hamilton, K. (2019). Online novel psychoactive susbtance user communities: responsible use, harm reduction and resistance. PhD Thesis.","https://www.researchgate.net/publication/346719864_Online_Novel_Psychoactive_Substance_User_Communities_Responsible_Use_Harm_Reduction_and_Resistance"
"Iain McPhee","University of the West of Scotland","Time to look beyond ageing a a factor? Alternative explanations for the continuing rise in drug related deaths in Scotland","Article","2018","McPhee, I., Sheridan, B., & O'Rawe, S. (2019). 'Time to look beyond ageing as a factor?' Alternative explanations for the continuing rise in drug related deaths in Scotland. Drugs and Alcohol Today, 19(2), pp. 72-85.","https://www.emerald.com/insight/content/doi/10.1108/DAT-06-2018-0030/full/html"
"Iain McPhee","University of the West of Scotland","The strange case of the two selves of clandestine drug users in Scotland","Article","2019","McPhee, I., Holligan, C., McLean, R., & Deuchar, R. (2019). Dr Jekyll and Mr Hyde: the strange case of the two selves of clandestine drug users in Scotland. Drugs & Alcohol Today, 19(2), 133-146. https://doi.org/10.1108/DAT-07-2018-0035","https://doi.org/10.1108/DAT-07-2018-0035"
"Iain McPhee","University of the West of Scotland","AUDIT Scotland 10 years on: Explaining how funding decisions link to increased risk for drug related deaths among the poor","Article","2020","McPhee, I., & Sheridan, B. (2020). AUDIT Scotland 10 years on: explaining how funding decisions link to increased risk for drug related deaths among the poor. Drugs and Alcohol Today, 20(4), pp. 313-322.","https://www.emerald.com/insight/content/doi/10.1108/DAT-05-2020-0024/full/html"
"Iain McPhee","University of the West of Scotland","Look what's coming over the hill: DAST-10 problem severity among non treatment seeking young people","Article","2022","McPhee, I., Sheridan, B., Horne, A., Keenan, S., & Houston, F. (2022). Look what's coming over the hill: DAST-10 problem severity among non-treatment seeking young people. Drugs, Habits and Social Policy, 23(1), pp. 22-35.","https://www.emerald.com/insight/content/doi/10.1108/DHS-07-2021-0034/full/html"
"Iain McPhee","University of the West of Scotland","Policy traps and policy placebos: assessing drug policy network responses to drug related deaths","Article","2023","McPhee, I., & Sheridan, B. (2023). Policy traps and policy debates: assessing drug policy network responses to drug related deaths. Drugs, Habits and Social Policy, 24(1), pp. 39-52.","https://www.emerald.com/insight/content/doi/10.1108/DHS-06-2022-0023/full/html"
"Aileen O'Gorman","University of the West of Scotland","The European Society for Social Drug Research: a reflection on research trends over time","Article","2017","Korf, D.J., O'Gorman, A., & Werse, B. (2017). The European Society for Social Drug Research: a reflection on research trends over time. Drugs: Education, Prevention and Policy, 24(4), pp. 321-323.","https://www.tandfonline.com/doi/full/10.1080/09687637.2017.1346061"
"Aileen O'Gorman","University of the West of Scotland","(Re)conceptualizing “polydrug use”: Capturing the complexity of combining substances","Article","2019","Hakkarainen, P., O'Gorman, A., Lamy, F., & Kataja, K. (2019). (Re)conceptualizing 'Polydrug Use': Captruing the complexity of combining substances. Contemporary Drug Problems, 46(4), 400-417.","https://journals.sagepub.com/doi/10.1177/0091450919884739"
"Aileen O'Gorman","University of the West of Scotland","Civil society involvement in harm reduction drug policy: reflections on the past, expectations for the future","Article","2021","O'Gorman, A., & Schatz, E. (2021). Civil society involvement in harm reduction drug policy: reflections on the past, expectations for the future. Harm Reduction Journal, 18(17),","https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-020-00426-8"
"Aileen O'Gorman","University of the West of Scotland","Community drug projects: Responding to drug-related harms from a community development approach","Report","2020","O'Gorman, A. (2020). Community Drug Projects: Responding to drug-related harms from a community development approach. Report submitted to CityWide Drugs Crisis Campaign. Dublin: CityWide Drgus Crisis Campaign.","https://research-portal.uws.ac.uk/en/publications/community-drug-projects-responding-to-drug-related-harms-from-a-c"
"Steve O'Rawe","University of the West of Scotland","Illegal drugs in the UK: Is it time for considered legalisation to improve public health?","Article","2021","Dalgarno, P., O'Rawe, S., & Hammersley, R. (2021). Illegal drugs in the UK: Is it time for considered legalisation to improve public health? Drug Sceince, Policy and Law, 7, pp. 1-9.",NA
"Avril Taylor","University of the West of Scotland","An uncontrolled, feasibility study of a group intervention to reduce hepatitis C transmission risk behaviours and increase transmission knowledge among women who inject drugs","Article","2017","Gilchrist, G., Tirado-Munoz, J., Taylor, A., Fischer, G., Moskalewicz, J., Köchl, B., Giammarchi, C., Dabrowska, K., Shaw, A., Munro, A., Di Furia, L., & Torrens, M. (2017). An uncontrolled, feasibility study of a group intervention to reduce hepatitis C transmission risk behaviours and increase transmission knowledge among women who inject drugs [Article]. Drugs: Education, Prevention & Policy, 24(2), 179-188. https://doi.org/10.1080/09687637.2016.1197885","https://doi.org/10.1080/09687637.2016.1197885"
"Roy Robertson","University of Edinburgh","Misadventure in Muirhouse. HIV infection; a modern plague and a persisting public health problem","Article","2017","Robertson, R. (2017). Misadventure in Muirhouse. HIV Infection: A modern plague and persisting public health problem. Journal of the Royal College of Phsyicians of Edinburgh, 47(1).","https://journals.sagepub.com/doi/10.4997/jrcpe.2017.119"
"Roy Robertson","University of Edinburgh","Prospects for people who use drugs: Maintenance, recovery or progress? An analysis of motivation to change in individuals attending for opioid agonist prescribing (OAP) in a general practice setting","Article","2018","Robertson, R., Copeland, L., Beresford, H., Elton, R., & Carson, D. (2018). Prospects for people who use drugs: Maintenance, recovery or progress? An analysis of motivation to change in individuals attending for opioid agonist prescribing (OAP) in a general practice setting [Article]. Drugs: Education, Prevention & Policy, 25(5), 408-412. https://doi.org/10.1080/09687637.2017.1284182","https://doi.org/10.1080/09687637.2017.1284182"
"Roy Robertson","University of Edinburgh","Treatment and intervention for opiate dependence in the United Kingdom: Lessons from triumph and failure","Article","2018","Kalk, N. J., Robertson, J. R., Kidd, B., Day, E., Kelleher, M. J., Gilvarry, E., & Strang, J. (2018). Treatment and Intervention for Opiate Dependence in the United Kingdom: Lessons from Triumph and Failure [Article]. European Journal on Criminal Policy & Research, 24(2), 183-200. https://doi.org/10.1007/s10610-017-9364-z","https://doi.org/10.1007/s10610-017-9364-z"
"Roy Robertson","University of Edinburgh","Brexit threathens the UK's ability to tackle illicit drugs and organised crime: What needs to happen now?","Article","2019","Roman-Urrestarazu, A., Yang, J., Robertson, R., McCallum, A., Gray, C., McKee, M., & Middleton, J. (2019). Brexit threatens the UK's ability to tackle illicit drugs and organised crime: What needs to happen now? Health Policy, 123(6), pp. 521-525.","https://www.sciencedirect.com/science/article/pii/S0168851019301046"
"Roy Robertson","University of Edinburgh","Non drug-related and opioid-specific causes of 3262 deaths in Scotland's methadone-prescription clients, 2009-2015","Article","2019","Gao, L., Robertson, J. R., & Bird, S. M. (2019). Non drug-related and opioid-specific causes of 3262 deaths in Scotland's methadone-prescription clients, 2009-2015. Drug and alcohol dependence, 197, 262-270. https://doi.org/10.1016/j.drugalcdep.2019.01.019","https://doi.org/10.1016/j.drugalcdep.2019.01.019"
"Roy Robertson","University of Edinburgh","Injecting drug use, the skin and vasculature","Article","2020","Robertson, R., Broers, B., & Harris, M. (2020). Injecting drug use, the skin and vasculature. Addiction, 116(7).","https://www.research.ed.ac.uk/en/publications/injecting-drug-use-the-skin-and-vasculature"
"Roy Robertson","University of Edinburgh","Scotland’s 2009-2015 methadone-prescription cohort: quintiles for daily-dose of prescribed methadone and associated risk of methadone-specific death","Article","2021","Gao, L., Robertson, R., & Bird, S. (2021). Scotland's 2009-2015 methadone-prescription cohort: Quintiles for daily dose of prescribed methadone and risk of methadone-specific death. British Journal of Clinical Pharmacology, 87(2), pp. 652-673.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7612180/"
"Roy Robertson","University of Edinburgh","Towards a framework for implementing physician education in substance use disorders","Article","2021","Kilmas, J., McCracken, R., Robertson, R., & Cullen, W. (2021). Towards a framework for implementing physician education in substance use disorders. Drug and alcohol dependence reports, 1.",NA
"Roy Robertson","University of Edinburgh","Benzodiazepines: the time for systematic change is now","Article","2021","Robertson, R., McAuley, A., & Matheson, C. (2021). Benzodiazepines: the time for systematic change is now. Addiction, 116(8), pp. 2246-2247.","https://researchonline.gcu.ac.uk/en/publications/benzodiazepines-the-time-for-systematic-change-is-now"
